2013100001,コスモカナディアン,boba,2013-05-03,38,5,5,8,20,169390000,9,0,アイズスタッド,ロージズインメイ,DevilHisDue,Devil'sBag,Halo,Ballade,PlentyO'Toole,RaiseaCup,Li'lPuss,TellaSecret,SpeakJohn,PrinceJohn,NuitdeFolies,SecretRetreat,Clandestine,Retirement,カナディアンアプルーバル,WithApproval,Caro,フォルティノ,Chambord,PassingMood,Buckpasser,CoolMood,ATasteforLace,Laomedonte,RaiseaNative,LostMessage,NorthernEclipse,ノーザンアンサー,MadameRoyale
2013100002,バトルゾーン,boba,2013-05-03,0,0,0,0,0,0,0,0,アイズスタッド,ナカヤマフェスタ,ステイゴールド,サンデーサイレンス,Halo,WishingWell,ゴールデンサッシュ,ディクタス,ダイナサッシュ,ディアウィンク,タイトスポット,HisMajesty,PremiumWin,セイレイ,デインヒル,センスオブリズム,キョウエイフルハム,ジェリ,Theatrical,Nureyev,ツリーオブノレッジ,Garimpeiro,Mr.Prospector,FarFlying,ケイシュウアップ,SovereignDancer,NorthernDancer,BoldPrincess,アップザアパラッチ,Apalachee,PartyUp
2013100003,アイリーアイリー,hinba,2013-05-14,7,0,0,0,7,750000,0,0,アイズスタッド,オレハマッテルゼ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,カーリーエンジェル,ジャッジアンジェルーチ,HonestPleasure,VictorianQueen,ダイナカール,ノーザンテースト,シャダイフェザー,キョウエイペルレ,ワージブ,トライマイベスト,NorthernDancer,SexAppeal,Coryana,Sassafras,Rosolini,ケイシュウハーブ,ミシシッピアン,VaguelyNoble,Gazala,キョウエイシラユキ,クラウンドプリンス,アリアーン
2013100004,マイネルアーベント,boba,2013-03-29,23,7,5,3,8,5640000,0,0,アイズスタッド,ケイムホーム,GoneWest,Mr.Prospector,RaiseaNative,GoldDigger,Secrettame,Secretariat,Tamerett,NiceAssay,CleverTrick,Icecapade,KankakeeMiss,インフルヴユー,FullOut,Turnn'See,グレイスサンセット,ジャングルポケット,トニービン,カンパラ,SevernBridge,ダンスチャーマー,Nureyev,SkillfulJoy,ワールドウッド,ラシアンボンド,Danzig,Somfas,キョウエイミート,クラウンドプリンス,キョウエイオリーブ
2013100005,ナンベーサン,boba,2013-03-17,20,2,1,1,16,19750000,0,0,アイズスタッド,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr.Prospector,File,BroomDance,DanceSpell,WitchingHour,SheerIce,Cutlass,Damascus,Aphonia,HeyDollyA.,Ambehaving,SwiftDeal,グロッタアズーラ,フジキセキ,サンデーサイレンス,Halo,WishingWell,ミルレーサー,LeFabuleux,Marston'sMill,サダムブルーアイズ,エルコンドルパサー,Kingmambo,サドラーズギャル,ミスティックアイズ,EasternEcho,スキム
2013100006,クエリ,hinba,2013-05-12,17,3,2,1,11,4850000,0,0,アイズスタッド,プリサイスエンド,エンドスウィープ,フォーティナイナー,Mr.Prospector,File,BroomDance,DanceSpell,WitchingHour,Precisely,Summing,Verbatim,Sumatra,Crisp'nClear,ColdReception,RingO'Bells,ラウリシルヴァ,ネオユニヴァース,サンデーサイレンス,Halo,WishingWell,ポインテッドパス,Kris,SilkenWay,ドライアッド,トニービン,カンパラ,SevernBridge,オークツリー,リアルシャダイ,シャダイアイバー
2013100007,ブレイズガール,hinba,2013-04-07,30,2,3,1,24,30230000,0,0,旭牧場,ローレルゲレイロ,キングヘイロー,ダンシングブレーヴ,Lyphard,NavajoPrincess,グッバイヘイロー,Halo,PoundFoolish,ビッグテンビー,テンビー,Caerleon,ShiningWater,モガミヒメ,カコイーシーズ,モガミポイント,アペイロン,エルコンドルパサー,Kingmambo,Mr.Prospector,Miesque,サドラーズギャル,Sadler'sWells,Glenveagh,カリーノ,サンデーサイレンス,Halo,WishingWell,ダンスロマンス,NorthernDancer,BlueTepee
2013100008,ビッグダディ,boba,2013-04-25,52,4,8,4,36,1930000,0,0,厚賀古川牧場,スターリングローズ,アフリート,Mr.Prospector,RaiseaNative,GoldDigger,PoliteLady,VenetianJester,FriendlyWays,コマーズ,Danzig,NorthernDancer,PasdeNom,ミドルマーチ,Buckpasser,NicePrincess,アマンディーヌ,コロナドズクエスト,フォーティナイナー,Mr.Prospector,File,LaughingLook,Damascus,Laughter,ミッチースマイル,マルゼンスキー,Nijinsky,シル,ノースヒミコ,サンプリンス,ロングアインス
2013100009,ヘビデューティー,boba,2013-04-08,45,11,6,3,25,12790000,0,0,厚賀古川牧場,カネヒキリ,フジキセキ,サンデーサイレンス,Halo,WishingWell,ミルレーサー,LeFabuleux,Marston'sMill,ライフアウトゼア,DeputyMinister,ViceRegent,MintCopy,SilverValley,Mr.Prospector,SevenValleys,コスマグレース,ヘクタープロテクター,Woodman,Mr.Prospector,プレイメイト,Korveya,Riverman,Konafa,エテール,Lyphard,NorthernDancer,Goofed,HonorTricks,BoldBidder,Cosmah
2013100010,アリュエット,hinba,2013-03-31,19,1,0,1,17,300000,0,0,厚賀古川牧場,キングヘイロー,ダンシングブレーヴ,Lyphard,NorthernDancer,Goofed,NavajoPrincess,Drone,Olmec,グッバイヘイロー,Halo,HailtoReason,Cosmah,PoundFoolish,SirIvor,Squander,コパノベンザイテン,アドマイヤベガ,サンデーサイレンス,Halo,WishingWell,ベガ,トニービン,アンティックヴァリュー,ノーブルプライド,Caerleon,Nijinsky,Foreseer,NobleChick,VaguelyNoble,Margarethen
