2015100001,クインズベンチ,hinba,2015-03-31,25,1,3,2,19,3240000,0,0,赤石久夫,スターリングローズ,アフリート,Mr.Prospector,RaiseaNative,GoldDigger,PoliteLady,VenetianJester,FriendlyWays,コマーズ,Danzig,NorthernDancer,PasdeNom,ミドルマーチ,Buckpasser,NicePrincess,アヴィド,マヤノトップガン,ブライアンズタイム,Roberto,Kelley'sDay,アルプミープリーズ,BlushingGroom,Swiss,シンカンフラッシュ,アジュディケーティング,Danzig,Resolver,トーヨージョオー,イルドブルボン,クレヴアーダンサー
2015100002,マイネルアングリフ,boba,2015-04-05,16,0,0,6,10,240000,0,0,赤石久夫,ショウナンカンプ,サクラバクシンオー,サクラユタカオー,テスコボーイ,アンジェリカ,サクラハゴロモ,ノーザンテースト,クリアアンバー,ショウナングレイス,ラッキーソブリン,Nijinsky,Sovereign,ヤセイコーソ,タケシバオー,メジロチドリ,アプローズビコー,マンハッタンカフェ,サンデーサイレンス,Halo,WishingWell,サトルチェンジ,LawSociety,SantaLuciana,ゴートゥグローリー,SummerSquall,StormBird,WeekendSurprise,CharmingTiara,Alydar,MyCharmer
2015100003,アバロン,boba,2015-05-03,11,2,1,1,7,1660000,0,0,赤石久夫,ショウナンカンプ,サクラバクシンオー,サクラユタカオー,テスコボーイ,アンジェリカ,サクラハゴロモ,ノーザンテースト,クリアアンバー,ショウナングレイス,ラッキーソブリン,Nijinsky,Sovereign,ヤセイコーソ,タケシバオー,メジロチドリ,アンドロメダ,マヤノトップガン,ブライアンズタイム,Roberto,Kelley'sDay,アルプミープリーズ,BlushingGroom,Swiss,クニノプリティ,ブレイヴェストローマン,NeverBend,RomanSong,カツブルー,ダッパー,カチナロン
2015100004,ネップウクノイチ,hinba,2015-03-13,15,0,3,4,8,2710000,0,0,赤石久夫,スクリーンヒーロー,グラスワンダー,SilverHawk,Roberto,GrisVitesse,Ameriflora,Danzig,GracefulTouch,ランニングヒロイン,サンデーサイレンス,Halo,WishingWell,ダイナアクトレス,ノーザンテースト,モデルスポート,キヌガサアジュディ,アジュディケーティング,Danzig,NorthernDancer,PasdeNom,Resolver,Reviewer,LovelyMorning,シンカンノゾミ,アスワン,ノーザンテースト,リリーオブザナイル,フレンドシザラ,シンザン,フレンドバンブー
2015100005,ホクトタキオン,boba,2015-04-07,29,2,0,0,27,3270000,0,0,赤石久夫,ベーカバド,CapeCross,GreenDesert,Danzig,ForeignCourier,ParkAppeal,Ahonoora,Balidaress,Behkara,Kris,SharpenUp,DoublySure,Behera,MillReef,Borushka,グッドコマチ,アグネスタキオン,サンデーサイレンス,Halo,WishingWell,アグネスフローラ,ロイヤルスキー,アグネスレディー,ファイナルキス,Danzig,NorthernDancer,PasdeNom,クラシッククラウン,Mr.Prospector,SixCrowns
2015100006,シルクラビッシュの2015,hinba,2015-04-05,0,0,0,0,0,0,0,0,赤石久夫,フサイチリシャール,クロフネ,フレンチデピュティ,DeputyMinister,Mitterand,ブルーアヴェニュー,ClassicGoGo,ElizaBlue,フサイチエアデール,サンデーサイレンス,Halo,WishingWell,ラスティックベル,Mr.Prospector,RagtimeGirl,シルクラビッシュ,エルコンドルパサー,Kingmambo,Mr.Prospector,Miesque,サドラーズギャル,Sadler'sWells,Glenveagh,ルビータイガー,Ahonoora,Lorenzaccio,HelenNichols,Hayati,Hotfoot,Silecia
2015100007,リキオオヒラ,boba,2015-04-10,5,0,0,0,5,30000,0,0,赤石久夫,ヒルノダムール,マンハッタンカフェ,サンデーサイレンス,Halo,WishingWell,サトルチェンジ,LawSociety,SantaLuciana,シェアエレガンス,ラムタラ,Nijinsky,SnowBride,メアリーリノア,L'Emigrant,MarieNoelle,シンカンミグフジ,キャプテンスティーヴ,FlySoFree,TimeforaChange,FreetoFly,SparklingDelite,ViceRegent,SparklingTopaz,シンカンメグミ,マルゼンスキー,Nijinsky,シル,フレンドシザラ,シンザン,フレンドバンブー
2015100008,カッチャオ,boba,2015-03-30,45,4,7,4,30,2320000,0,0,赤石久夫,ショウナンカンプ,サクラバクシンオー,サクラユタカオー,テスコボーイ,アンジェリカ,サクラハゴロモ,ノーザンテースト,クリアアンバー,ショウナングレイス,ラッキーソブリン,Nijinsky,Sovereign,ヤセイコーソ,タケシバオー,メジロチドリ,スカイプラネット,ネオユニヴァース,サンデーサイレンス,Halo,WishingWell,ポインテッドパス,Kris,SilkenWay,デック,GoforGin,Cormorant,NeverKnock,Locate,Cox'sRidge,Find
2015100009,スカットダムール,hinba,2015-03-26,2,0,0,2,0,160000,0,0,赤石久夫,ヒルノダムール,マンハッタンカフェ,サンデーサイレンス,Halo,WishingWell,サトルチェンジ,LawSociety,SantaLuciana,シェアエレガンス,ラムタラ,Nijinsky,SnowBride,メアリーリノア,L'Emigrant,MarieNoelle,ストロングヒロイン,リンドシェーバー,Alydar,RaiseaNative,SweetTooth,ベーシイド,CoolMoon,Polondra,ジェイドストリーク,ジェイドロバリー,Mr.Prospector,Number,シゴネーラ,Nureyev,IonianRaja
2015100010,シンマ,boba,2015-03-20,27,5,4,1,17,1650000,0,0,赤石久夫,スクリーンヒーロー,グラスワンダー,SilverHawk,Roberto,GrisVitesse,Ameriflora,Danzig,GracefulTouch,ランニングヒロイン,サンデーサイレンス,Halo,WishingWell,ダイナアクトレス,ノーザンテースト,モデルスポート,ディアパルティール,ファンタスティックライト,Rahy,BlushingGroom,GloriousSong,Jood,Nijinsky,Kamar,カトゥーンバ,ForestWildcat,StormCat,VictoriaBeauty,ElizabethBay,Mr.Prospector,LifeAttheTop
