2010100001,ミッキーマンデー,boba,2010-04-04,38,2,4,9,23,22980000,0,0,赤石牧場,スズカフェニックス,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ローズオブスズカ,FairyKing,NorthernDancer,FairyBridge,RoseofJericho,Alleged,RoseRed,カルメンジョオー,ミルジョージ,MillReef,NeverBend,MilanMill,MissCharisma,Ragusa,マタテイナ,マターオブプライド,RaiseaNative,NativeDancer,RaiseYou,OldGoat,OldenTimes,RullahGood
2010100002,ドリームハピネス,hinba,2010-02-28,7,1,0,1,5,1530000,0,0,赤石牧場,スズカマンボ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,スプリングマンボ,Kingmambo,Mr.Prospector,Miesque,キーフライヤー,Nijinsky,KeyPartner,スターオブブリッジ,トロットサンダー,ダイナコスモス,ハンターコム,シャダイワーデン,ラセーヌワンダ,テスコボーイ,ラ・セーヌ,ライフビジョン,スズカコバン,マルゼンスキー,サリュウコバン,ライフポート,ファインポート,マリーノビーチ
2010100003,マリンフレイバー,boba,2010-03-27,7,1,1,0,5,3120000,0,0,赤石牧場,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr.Prospector,File,BroomDance,DanceSpell,WitchingHour,SheerIce,Cutlass,Damascus,Aphonia,HeyDollyA.,Ambehaving,SwiftDeal,フレンチフレイバー,フレンチデピュティ,DeputyMinister,ViceRegent,MintCopy,Mitterand,HoldYourPeace,LaredoLass,ウエストオブコディ,GoneWest,Mr.Prospector,Secrettame,Helenska,Nijinsky,IntheOffing
2010100004,リアライズリンクス,boba,2010-04-06,47,15,4,4,24,121020000,5,0,赤石牧場,ダイタクリーヴァ,フジキセキ,サンデーサイレンス,Halo,WishingWell,ミルレーサー,LeFabuleux,Marston'sMill,スプリングネヴァー,サクラユタカオー,テスコボーイ,アンジェリカ,ネヴアーイチバン,ネヴァービート,ミスナンバイチバン,ブライティアイブン,マイネルラヴ,SeekingtheGold,Mr.Prospector,ConGame,HeartofJoy,リィフォー,Mythographer,スイートイブン,イブンベイ,MillReef,RosiaBay,スイートイベット,モガミ,スイートローラン
2010100005,アザヤカスター,boba,2010-03-26,11,0,0,1,10,50000,0,0,稲原牧場,スズカフェニックス,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ローズオブスズカ,FairyKing,NorthernDancer,FairyBridge,RoseofJericho,Alleged,RoseRed,エアコムロー,オペラハウス,Sadler'sWells,NorthernDancer,FairyBridge,Colorspin,HighTop,Reprocolor,コニーストン,プルラリズム,TheMinstrel,Cambretta,クリプシー,アローエクスプレス,モンタロッチ
2010100006,エアマデレーン,hinba,2010-04-22,39,8,7,2,22,9890000,1,0,稲原牧場,ゴールドアリュール,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ニキーヤ,Nureyev,NorthernDancer,Special,ReluctantGuest,Hostage,VaguelyRoyal,エアセイレン,GrandLodge,Chief'sCrown,Danzig,SixCrowns,LaPapagena,Habitat,MagicFlute,カラキーア,Sadler'sWells,NorthernDancer,FairyBridge,Kissagram,Alysheba,ダンシングゴッデス
2010100007,エアオリアンティ,hinba,2010-04-06,8,1,0,2,5,540000,0,0,稲原牧場,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr.Prospector,File,BroomDance,DanceSpell,WitchingHour,SheerIce,Cutlass,Damascus,Aphonia,HeyDollyA.,Ambehaving,SwiftDeal,エアデュシェス,アグネスタキオン,サンデーサイレンス,Halo,WishingWell,アグネスフローラ,ロイヤルスキー,アグネスレディー,エアレンヌ,FairyKing,NorthernDancer,FairyBridge,RubySetting,ゴライタス,SunPrincess
2010100008,スリーエアウィーク,boba,2010-03-05,36,10,7,6,13,1640000,0,0,稲原牧場,スペシャルウィーク,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,キャンペンガール,マルゼンスキー,Nijinsky,シル,レディーシラオキ,セントクレスピン,ミスアシヤガワ,エアリング,ダンシングブレーヴ,Lyphard,NorthernDancer,Goofed,NavajoPrincess,Drone,Olmec,コニーストン,プルラリズム,TheMinstrel,Cambretta,クリプシー,アローエクスプレス,モンタロッチ
2010100009,スズカノジェリコ,hinba,2010-04-09,16,5,0,2,9,520000,0,0,稲原牧場,スズカマンボ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,スプリングマンボ,Kingmambo,Mr.Prospector,Miesque,キーフライヤー,Nijinsky,KeyPartner,スズカローズマリー,アフリート,Mr.Prospector,RaiseaNative,GoldDigger,PoliteLady,VenetianJester,FriendlyWays,ローズオブスズカ,FairyKing,NorthernDancer,FairyBridge,RoseofJericho,Alleged,RoseRed
2010100010,キタノフェニックス,boba,2010-04-23,2,0,0,0,2,0,0,0,稲原牧場,スズカフェニックス,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ローズオブスズカ,FairyKing,NorthernDancer,FairyBridge,RoseofJericho,Alleged,RoseRed,センターシャイネン,ブライアンズタイム,Roberto,HailtoReason,Bramalea,Kelley'sDay,Graustark,GoldenTrail,センターライジング,ヘクタープロテクター,Woodman,Korveya,ダイナオレンジ,ノーザンテースト,サワーオレンジ
2010100011,スズカブルパップ,boba,2010-04-11,2,0,0,0,2,0,0,0,稲原牧場,スズカフェニックス,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ローズオブスズカ,FairyKing,NorthernDancer,FairyBridge,RoseofJericho,Alleged,RoseRed,ブリイジースズカ,Danzig,NorthernDancer,Nearctic,Natalma,PasdeNom,Admiral'sVoyage,Petitioner,SeaBreezer,Gulch,Mr.Prospector,Jameela,LakevilleMiss,RainyLake,Hew
2010100012,ナカノヘイロー,boba,2010-04-04,34,8,9,4,13,1770000,0,0,稲原牧場,ゴールドヘイロー,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ニアーザゴールド,SeekingtheGold,Mr.Prospector,ConGame,ニヤー,NorthernDancer,Far,ベネチアンテンズ,クリスタルグリッターズ,BlushingGroom,RedGod,RunawayBride,TalestoTell,DonutKing,FleetingDoll,メジロジュリアン,ヤマニンスキー,Nijinsky,アンメンシヨナブル,メジロパンテーラ,シャトーゲイ,メジロハリマ
2010100013,ヤギリハーツ,boba,2010-05-09,11,0,0,1,10,1800000,0,0,稲原牧場,ハーツクライ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,アイリッシュダンス,トニービン,カンパラ,SevernBridge,ビューパーダンス,Lyphard,MyBupers,メイショウヤエガキ,クリエイター,MillReef,NeverBend,MilanMill,Chalon,Habitat,Areola,コニーストン,プルラリズム,TheMinstrel,Cambretta,クリプシー,アローエクスプレス,モンタロッチ
2010100014,サンシーカーの2010,hinba,2010-03-16,0,0,0,0,0,0,0,0,岩井裕,アサクサデンエン,シングスピール,IntheWings,Sadler'sWells,ハイホーク,GloriousSong,Halo,Ballade,ホワイトウォーターアフェア,Machiavellian,Mr.Prospector,CoupdeFolie,MuchTooRisky,Bustino,ShortRations,サンシーカー,フォーティナイナー,Mr.Prospector,RaiseaNative,GoldDigger,File,TomRolfe,Continue,スイートラブ,テスコボーイ,PrincelyGift,Suncourt,ネヴアーイチバン,ネヴァービート,ミスナンバイチバン
2010100015,アイティインドラ,boba,2010-05-03,7,0,1,2,4,100000,0,0,大山牧場,ソングオブウインド,エルコンドルパサー,Kingmambo,Mr.Prospector,Miesque,サドラーズギャル,Sadler'sWells,Glenveagh,メモリアルサマー,サンデーサイレンス,Halo,WishingWell,サマーワイン,トニービン,シヤダイマイン,ワンダーフェロー,バブルガムフェロー,サンデーサイレンス,Halo,WishingWell,バブルカンパニー,Lyphard,Prodice,ビクトリートースト,ミスターシービー,トウショウボーイ,シービークイン,ビクトリアクラウン,ファバージ,ワールドハヤブサ
2010100016,スガロマン,boba,2010-03-16,2,0,0,0,2,0,0,0,北島牧場,アルカセット,Kingmambo,Mr.Prospector,RaiseaNative,GoldDigger,Miesque,Nureyev,Pasadoble,チェサプラナ,Niniski,Nijinsky,VirginiaHills,TopofTheLeague,HighTop,HomeandAway,イシノクイル,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,クイルメーカー,ノーザンネイティヴ,Nearctic,Natalma,シル,Buckpasser,Quill
2010100017,フレンチカンカン,hinba,2010-01-29,45,9,9,4,23,17580000,0,0,北島牧場,フレンチデピュティ,DeputyMinister,ViceRegent,NorthernDancer,VictoriaRegina,MintCopy,Bunty'sFlight,Shakney,Mitterand,HoldYourPeace,SpeakJohn,BlueMoon,LaredoLass,BoldRuler,FortunateIsle,エンプレスロッチ,カコイーシーズ,Alydar,RaiseaNative,SweetTooth,CarelessNotion,Jester,MissUppity,ロッチウインド,テスコボーイ,PrincelyGift,Suncourt,クリプシー,アローエクスプレス,モンタロッチ
2010100018,オーシャンルミナスの2010,hinba,2010-03-01,0,0,0,0,0,0,0,0,北島牧場,リンカーン,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,グレースアドマイヤ,トニービン,カンパラ,SevernBridge,バレークイーン,Sadler'sWells,SunPrincess,オーシャンルミナス,フレンチデピュティ,DeputyMinister,ViceRegent,MintCopy,Mitterand,HoldYourPeace,LaredoLass,オーシャンドリーム,フォーティナイナー,Mr.Prospector,File,プランス,Nijinsky,Foreseer
2010100019,ミラクルベル,hinba,2010-01-11,26,1,8,1,16,390000,0,0,北島牧場,フジキセキ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ミルレーサー,LeFabuleux,WildRisk,Anguar,Marston'sMill,InReality,Millicent,キャットニップ,タバスコキャット,StormCat,StormBird,Terlingua,BarbicueSauce,SauceBoat,LadyBarbizon,スウィートインディ,A.P.Indy,SeattleSlew,WeekendSurprise,SugarNipper,Danzig,I'mSweets
2010100020,マカオ,hinba,2010-03-29,12,0,1,0,11,80000,0,0,北島牧場,アドマイヤジャパン,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ビワハイジ,Caerleon,Nijinsky,Foreseer,アグサン,LordGayle,SantaLuciana,ゴールデンプランクスター,SeekingtheGold,Mr.Prospector,RaiseaNative,GoldDigger,ConGame,Buckpasser,Broadway,Mischievously,Decidedly,Determine,GloireFille,HillWhisper,Hillary,FallenLeaf
2010100021,キリシマ,hinba,2010-02-26,24,0,2,3,19,1460000,0,0,北島牧場,アジュディケーティング,Danzig,NorthernDancer,Nearctic,Natalma,PasdeNom,Admiral'sVoyage,Petitioner,Resolver,Reviewer,BoldRuler,Broadway,LovelyMorning,Swaps,MistyMorn,シャンクオリティ,モガミ,Lyphard,NorthernDancer,Goofed,ノーラック,LuckyDebonair,NoTeasing,プリンセスウインド,ロンバード,Ragusa,MidnightChimes,カナデアンチーフ,トライバルチーフ,スイーブ
2010100022,ダイヤパッション,hinba,2010-04-09,79,8,4,6,61,1440000,0,0,北島牧場,アドマイヤジャパン,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ビワハイジ,Caerleon,Nijinsky,Foreseer,アグサン,LordGayle,SantaLuciana,シーンプロット,Dayjur,Danzig,NorthernDancer,PasdeNom,GoldBeauty,Mr.Prospector,SticktoBeauty,Nastique,Naskra,Nasram,Iskra,LaFantastique,LeFabuleux,Witherite
2010100023,ウインレコード,hinba,2010-04-05,3,0,0,0,3,0,0,0,北島牧場,チチカステナンゴ,Smadoun,Kaldoun,Caro,Katana,Mossma,TipMoss,Ticma,スマラ,Antheus,NorthernDancer,Apachee,SmallPartie,FabulousDancer,SummerParties,ダンスインザロッチ,ダンスインザダーク,サンデーサイレンス,Halo,WishingWell,ダンシングキイ,Nijinsky,KeyPartner,エンプレスロッチ,カコイーシーズ,Alydar,CarelessNotion,ロッチウインド,テスコボーイ,クリプシー
2010100024,ママワブンダバー,hinba,2010-03-12,51,3,8,3,37,1640000,0,0,北島牧場,スズカマンボ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,スプリングマンボ,Kingmambo,Mr.Prospector,Miesque,キーフライヤー,Nijinsky,KeyPartner,トロフィーポイント,オジジアン,Damascus,SwordDancer,Kerala,Gonfalon,FrancisS.,GrandSplendor,TrickyGame,MajesticLight,MajesticPrince,Irradiate,ConGame,Buckpasser,Broadway
2010100025,ペガサスムーン,boba,2010-04-26,38,6,8,4,20,400000,0,0,北島牧場,フジキセキ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ミルレーサー,LeFabuleux,WildRisk,Anguar,Marston'sMill,InReality,Millicent,バズビナ,HighestHonor,Kenmare,Kalamoun,BelleofIreland,HighRiver,Riverman,Hairbrush,EliteGuest,BeMyGuest,NorthernDancer,WhataTreat,Elevate,Ela-Mana-Mou,SunnyValley
2010100026,エフティチャーミー,hinba,2010-02-28,22,1,1,0,20,15040000,1,0,北島牧場,ブラックタイド,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ウインドインハーヘア,Alzao,Lyphard,LadyRebecca,Burghclere,Busted,Highclere,フラワーブリーズ,フェアジャッジメント,Alleged,HoisttheFlag,PrincessPout,MysticalMood,Roberto,MysteryMood,ノーザンフェロー,ノーザンアンサー,NorthernDancer,WindyAnswer,エリモローズ,チャイナロック,マーヴエラス
2010100027,マヤノチャクリ,boba,2010-01-17,66,8,7,9,42,2260000,0,0,北島牧場,チャクラ,マヤノトップガン,ブライアンズタイム,Roberto,Kelley'sDay,アルプミープリーズ,BlushingGroom,Swiss,カーロッサ,Caerleon,Nijinsky,Foreseer,PrairieDarling,Stanford,PrairieBelle,マヤノプリヤ,フサイチコンコルド,Caerleon,Nijinsky,Foreseer,バレークイーン,Sadler'sWells,SunPrincess,タイシンリリィ,ラディガ,Graustark,Celia,インターラーケン,サミーデイヴィス,シルヴアーファー
2010100028,ロイヤルパワー,boba,2010-04-20,64,6,4,7,47,21120000,0,0,北島牧場,ロージズインメイ,DevilHisDue,Devil'sBag,Halo,Ballade,PlentyO'Toole,RaiseaCup,Li'lPuss,TellaSecret,SpeakJohn,PrinceJohn,NuitdeFolies,SecretRetreat,Clandestine,Retirement,ラヴマリッジ,フレンチデピュティ,DeputyMinister,ViceRegent,MintCopy,Mitterand,HoldYourPeace,LaredoLass,チャペルラヴァー,サンデーサイレンス,Halo,WishingWell,クローズ,Danzig,Far
2010100029,ラインプライド,boba,2010-04-23,53,4,6,4,39,17490000,0,0,北島牧場,アジュディケーティング,Danzig,NorthernDancer,Nearctic,Natalma,PasdeNom,Admiral'sVoyage,Petitioner,Resolver,Reviewer,BoldRuler,Broadway,LovelyMorning,Swaps,MistyMorn,ラーイズプライド,Rahy,BlushingGroom,RedGod,RunawayBride,GloriousSong,Halo,Ballade,NasersPride,AlNasr,Lyphard,Caretta,Screenland,SilentScreen,ManoAlto
2010100030,タケノオーシャン,boba,2010-04-25,5,0,0,0,5,110000,0,0,協栄組合,ローエングリン,シングスピール,IntheWings,Sadler'sWells,ハイホーク,GloriousSong,Halo,Ballade,カーリング,GardeRoyale,MillReef,RoyalWay,Corraleja,Carvin,DarlingDale,キヘイタウン,スピニングワールド,Nureyev,NorthernDancer,Special,ImperfectCircle,Riverman,Aviance,Summertown,Diesis,SharpenUp,DoublySure,Solar,Halo,SexAppeal
2010100031,ウインマスカット,boba,2010-05-03,39,6,2,2,29,1240000,0,0,協栄組合,リンカーン,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,グレースアドマイヤ,トニービン,カンパラ,SevernBridge,バレークイーン,Sadler'sWells,SunPrincess,マチカネレイロウ,ノーザンテースト,NorthernDancer,Nearctic,Natalma,LadyVictoria,VictoriaPark,LadyAngela,シヤイニーアンドブライト,PrivateAccount,Damascus,NumberedAccount,Sparkling,BoldRuler,Striking
2010100032,ランクインの2010,hinba,2010-06-07,0,0,0,0,0,0,0,0,協栄組合,タップダンスシチー,PleasantTap,PleasantColony,HisMajesty,SunColony,NeverKnock,StageDoorJohnny,NeverHula,AllDance,NorthernDancer,Nearctic,Natalma,AllRainbows,BoldHour,MissCarmie,ランクイン,アドマイヤコジーン,Cozzene,Caro,RidetheTrails,アドマイヤマカディ,ノーザンテースト,ミセスマカディー,パイソン,Fappiano,Mr.Prospector,Killaloe,HillRiver,HillRise,RiverPrincess
2010100033,レディアトラクトの2010,boba,2010-05-03,0,0,0,0,0,0,0,0,協栄組合,タップダンスシチー,PleasantTap,PleasantColony,HisMajesty,SunColony,NeverKnock,StageDoorJohnny,NeverHula,AllDance,NorthernDancer,Nearctic,Natalma,AllRainbows,BoldHour,MissCarmie,レディアトラクト,ウォーニング,KnownFact,InReality,Tamerett,SlightlyDangerous,Roberto,WhereYouLead,クワイトザレディ,Riverman,NeverBend,RiverLady,PoliteLady,VenetianJester,FriendlyWays
2010100034,コアレスキング,boba,2010-04-22,66,3,4,3,56,71690000,0,0,コアレススタッド,キングカメハメハ,Kingmambo,Mr.Prospector,RaiseaNative,GoldDigger,Miesque,Nureyev,Pasadoble,マンファス,ラストタイクーン,トライマイベスト,MillPrincess,PilotBird,Blakeney,TheDancer,コアレスサンデー,ジェニュイン,サンデーサイレンス,Halo,WishingWell,クルーピアレディー,WhatLuck,Questiond'Argent,リイフオーダンサー,リィフォー,Lyphard,Klaizia,ミスラツプランド,Polmak,Assure
2010100035,シャイニープリンス,boba,2010-04-26,39,6,2,4,27,180510000,22,0,コアレススタッド,キングヘイロー,ダンシングブレーヴ,Lyphard,NorthernDancer,Goofed,NavajoPrincess,Drone,Olmec,グッバイヘイロー,Halo,HailtoReason,Cosmah,PoundFoolish,SirIvor,Squander,ダイタクピア,リンドシェーバー,Alydar,RaiseaNative,SweetTooth,ベーシイド,CoolMoon,Polondra,スイートラブ,テスコボーイ,PrincelyGift,Suncourt,ネヴアーイチバン,ネヴァービート,ミスナンバイチバン
2010100036,ベルウッドシード,boba,2010-03-15,1,0,0,0,1,0,0,0,コアレススタッド,キングヘイロー,ダンシングブレーヴ,Lyphard,NorthernDancer,Goofed,NavajoPrincess,Drone,Olmec,グッバイヘイロー,Halo,HailtoReason,Cosmah,PoundFoolish,SirIvor,Squander,ブライティアアップ,シングスピール,IntheWings,Sadler'sWells,ハイホーク,GloriousSong,Halo,Ballade,SatinSecret,Thatching,Thatch,Abella,Silky,Nijinsky,CloseUp
2010100037,エルフェンリート,boba,2010-04-20,1,0,0,0,1,0,0,0,コアレススタッド,チーフベアハート,Chief'sCrown,Danzig,NorthernDancer,PasdeNom,SixCrowns,Secretariat,ChrisEvert,AmeliaBearhart,BoldHour,BoldRuler,SevenThirty,MyrtlewoodLass,Ribot,GoldDigger,ブライティアエルフ,アドマイヤコジーン,Cozzene,Caro,RidetheTrails,アドマイヤマカディ,ノーザンテースト,ミセスマカディー,ブライティアスルー,ハイブリッジスルー,SeattleSlew,メアジードーツ,ケドラ,WelshPageant,GreyShoes
2010100038,ブライティアミル,hinba,2010-03-20,25,3,1,2,19,7700000,0,0,清水克則,フジキセキ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ミルレーサー,LeFabuleux,WildRisk,Anguar,Marston'sMill,InReality,Millicent,ブライティアカーム,キンググローリアス,Naevus,Mr.Prospector,Mudville,GloriousNatalie,ReflectedGlory,BlueEyedBlonde,スタイリッシュラン,Dayjur,Danzig,GoldBeauty,Peacefully,Jacinto,MorningCalm
2010100039,シャーベットカラー,hinba,2010-03-17,1,0,0,0,1,0,0,0,コアレススタッド,キングヘイロー,ダンシングブレーヴ,Lyphard,NorthernDancer,Goofed,NavajoPrincess,Drone,Olmec,グッバイヘイロー,Halo,HailtoReason,Cosmah,PoundFoolish,SirIvor,Squander,ブライティアドーツ,ハイブリッジスルー,SeattleSlew,BoldReasoning,MyCharmer,メアジードーツ,Nodouble,AvalancheLily,イニニ,CavoDoro,SirIvor,Limuru,LatinMelody,TudorMelody,Sealing-Wax
2010100040,デンコウシラヌイ,boba,2010-04-01,7,0,0,0,7,700000,0,0,コアレススタッド,チーフベアハート,Chief'sCrown,Danzig,NorthernDancer,PasdeNom,SixCrowns,Secretariat,ChrisEvert,AmeliaBearhart,BoldHour,BoldRuler,SevenThirty,MyrtlewoodLass,Ribot,GoldDigger,ブライティアバード,ForestWildcat,StormCat,StormBird,Terlingua,VictoriaBeauty,BoldNative,Abifaith,Devil'sFool,Devil'sBag,Halo,Ballade,GamblingFool,MajesticLight,ConGame
2010100041,ステイブライティア,hinba,2010-02-10,10,0,0,0,10,0,0,0,コアレススタッド,ステイゴールド,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ゴールデンサッシュ,ディクタス,Sanctus,Doronic,ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ,レディブライティア,デュラブ,Topsider,NorthernDancer,Drumtop,Passerine,Dr.Fager,Pashamin,ウメノアイリーン,ノノアルコ,Nearctic,Seximee,テスコパール,テスコボーイ,ムツミパール
2010100042,ハクシンファミリー,boba,2010-05-21,84,8,10,14,52,2010000,0,0,鹿戸辰幸,サムライハート,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,エアグルーヴ,トニービン,カンパラ,SevernBridge,ダイナカール,ノーザンテースト,シャダイフェザー,エラボレーション,ロドリゴデトリアーノ,ElGranSenor,NorthernDancer,SexAppeal,HotPrincess,ホットスパーク,Aspara,スプリングブレイク,CuretheBlues,StoptheMusic,QuickCure,エイプリルラン,RuntheGantlet,AprilFancy
2010100043,ユウバエ,hinba,2010-04-15,15,0,3,2,10,1810000,0,0,鹿戸辰幸,スパイキュール,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,クラフテイワイフ,CraftyProspector,Mr.Prospector,RealCraftyLady,WifeMistress,Secretariat,PoliticalPayoff,プルザトリガー,カコイーシーズ,Alydar,RaiseaNative,SweetTooth,CarelessNotion,Jester,MissUppity,カバリセプター,グランディ,GreatNephew,WordfromLundy,カバリランサー,ファバージ,サンマリノ
2010100044,ベニノゴールド,boba,2010-04-16,56,0,1,6,49,2730000,0,0,鹿戸辰幸,サムライハート,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,エアグルーヴ,トニービン,カンパラ,SevernBridge,ダイナカール,ノーザンテースト,シャダイフェザー,ユニオンドーター,スキャン,Mr.Prospector,RaiseaNative,GoldDigger,Video,Nijinsky,Foreseer,ユニオンアヤコ,マグニテュード,MillReef,AltesseRoyale,ヒガシシユンラン,リマンド,ヒガシユリ
2010100045,アロウィーバイオ,boba,2010-05-19,19,1,0,2,16,9400000,0,0,清水牧場,ネオユニヴァース,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ポインテッドパス,Kris,SharpenUp,DoublySure,SilkenWay,Shantung,Boulevard,ケイパブルバイオ,ジェリ,Theatrical,Nureyev,ツリーオブノレッジ,Garimpeiro,Mr.Prospector,FarFlying,ブリリアントバイオ,トニービン,カンパラ,SevernBridge,イングリッシュホーマー,ConquistadorCielo,Fiddlesticks
2010100046,カラダエーピー,hinba,2010-02-24,13,2,0,1,10,14000000,0,0,清水牧場,アフリート,Mr.Prospector,RaiseaNative,NativeDancer,RaiseYou,GoldDigger,Nashua,Sequence,PoliteLady,VenetianJester,TomFool,Venice,FriendlyWays,GreenTicket,WaystoLearn,ジャックヒマワリ,ヘネシー,StormCat,StormBird,Terlingua,IslandKitty,Hawaii,T.C.Kitten,レディアイスキューブス,Gulch,Mr.Prospector,Jameela,LadyIce,ViceRegent,DancingCastanet
2010100047,スズカダイヤ,hinba,2010-03-18,19,0,4,2,13,160000,0,0,清水牧場,スズカフェニックス,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ローズオブスズカ,FairyKing,NorthernDancer,FairyBridge,RoseofJericho,Alleged,RoseRed,スズカプラチナ,フレンチデピュティ,DeputyMinister,ViceRegent,MintCopy,Mitterand,HoldYourPeace,LaredoLass,ミンデンローズ,Mr.Prospector,RaiseaNative,GoldDigger,WinningColors,Caro,AllRainbows
2010100048,ポンドゥレーヴ,hinba,2010-04-21,22,2,0,1,19,440000,0,0,清水牧場,スズカマンボ,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,スプリングマンボ,Kingmambo,Mr.Prospector,Miesque,キーフライヤー,Nijinsky,KeyPartner,ドリームブリッジ,スターオブコジーン,Cozzene,Caro,RidetheTrails,StarGem,PiaStar,Soonerland,ドリームクロス,トニービン,カンパラ,SevernBridge,カムイイットー,ラッキーソブリン,イツトー
2010100049,エンペラーバイオ,boba,2010-02-17,12,1,0,0,11,200000,0,0,清水牧場,シルバーチャーム,SilverBuck,Buckpasser,TomFool,Busanda,SilverTrue,HailtoReason,SilverFog,Bonnie'sPoker,Poker,RoundTable,Glamour,WhataSurprise,WiseMargin,MilitantMiss,ハイパーバイオ,ブライアンズタイム,Roberto,HailtoReason,Bramalea,Kelley'sDay,Graustark,GoldenTrail,ディシイペイティング,MajesticLight,MajesticPrince,Irradiate,Squander,Buckpasser,Discipline
2010100050,マルトクスパート,boba,2010-04-19,56,22,9,8,17,10450000,0,0,清水牧場,アルデバランＩＩ,Mr.Prospector,RaiseaNative,NativeDancer,RaiseYou,GoldDigger,Nashua,Sequence,ChimesofFreedom,PrivateAccount,Damascus,NumberedAccount,Aviance,Northfields,MinnieHauk,マルトク,マーベラスサンデー,サンデーサイレンス,Halo,WishingWell,モミジダンサー,ヴァイスリーガル,モミジII,エリットビーナス,ジェイドロバリー,Mr.Prospector,Number,フリースピリット,リアルシャダイ,ダイナフランダース
