2014105427,エアウィンザー,boba,2014-02-15,16,7,5,2,2,182530000,4,1,社台ファーム,キングカメハメハ,Kingmambo,Mr.Prospector,RaiseaNative,GoldDigger,Miesque,Nureyev,Pasadoble,マンファス,ラストタイクーン,トライマイベスト,MillPrincess,PilotBird,Blakeney,TheDancer,エアメサイア,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,エアデジャヴー,ノーザンテースト,NorthernDancer,LadyVictoria,アイドリームドアドリーム,WellDecorated,HiddenTrail
2014105428,エアニューゲート,boba,2014-02-03,4,1,1,0,2,8250000,0,0,社台ファーム,ルーラーシップ,キングカメハメハ,Kingmambo,Mr.Prospector,Miesque,マンファス,ラストタイクーン,PilotBird,エアグルーヴ,トニービン,カンパラ,SevernBridge,ダイナカール,ノーザンテースト,シャダイフェザー,エアワンピース,ロックオブジブラルタル,デインヒル,Danzig,Razyana,OffshoreBoom,BeMyGuest,PushaButton,エアメサイア,サンデーサイレンス,Halo,WishingWell,エアデジャヴー,ノーザンテースト,アイドリームドアドリーム
2014105429,イントゥゾーン,hinba,2014-03-15,29,3,5,4,17,15140000,1,0,社台ファーム,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr.Prospector,File,BroomDance,DanceSpell,WitchingHour,SheerIce,Cutlass,Damascus,Aphonia,HeyDollyA.,Ambehaving,SwiftDeal,エイブルインレース,フジキセキ,サンデーサイレンス,Halo,WishingWell,ミルレーサー,LeFabuleux,Marston'sMill,フサイチエイブル,DeputyMinister,ViceRegent,MintCopy,Stardusk,StageDoorJohnny,Dusk
2014105430,コトブキホーク,boba,2014-04-07,14,2,1,0,11,17850000,0,0,社台ファーム,アイルハヴアナザー,FlowerAlley,DistortedHumor,フォーティナイナー,Danzig'sBeauty,プリンセスオリビア,Lycius,DanceImage,Arch'sGalEdith,Arch,KrisS.,Aurora,ForceFiveGal,PleasantTap,LastCause,エヴァ,キングカメハメハ,Kingmambo,Mr.Prospector,Miesque,マンファス,ラストタイクーン,PilotBird,ラブフォーエバー,サンデーサイレンス,Halo,WishingWell,ノンストップレディ,ノーザンテースト,マガロ
2014105431,ストロベリームーン,hinba,2014-03-25,18,6,4,4,4,121840000,0,0,社台ファーム,キンシャサノキセキ,フジキセキ,サンデーサイレンス,Halo,WishingWell,ミルレーサー,LeFabuleux,Marston'sMill,ケルトシャーン,PleasantColony,HisMajesty,SunColony,Featherhill,Lyphard,LadyBerry,エヴァディングタンペット,DubaiDestination,Kingmambo,Mr.Prospector,Miesque,Mysterial,Alleged,Mysteries,LateSummer,GoneWest,Mr.Prospector,Secrettame,SunandShade,Ajdal,Shadywood
2014105432,ヴォルフトーン,boba,2014-05-19,2,1,0,0,1,7000000,0,0,社台ファーム,シンボリクリスエス,KrisS.,Roberto,HailtoReason,Bramalea,SharpQueen,Princequillo,Bridgework,TeeKay,GoldMeridian,SeattleSlew,QueenLouie,TriArgo,TriJet,HailProudly,エオリアンハープ,キングカメハメハ,Kingmambo,Mr.Prospector,Miesque,マンファス,ラストタイクーン,PilotBird,エアウイングス,サンデーサイレンス,Halo,WishingWell,シークレットシェアラー,Secretariat,Nijana
2014105433,デルマヨサク,boba,2014-04-08,2,0,0,0,2,0,0,0,社台ファーム,スウィフトカレント,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ホワイトウォーターアフェア,Machiavellian,Mr.Prospector,CoupdeFolie,MuchTooRisky,Bustino,ShortRations,エミスフェール,ホワイトマズル,ダンシングブレーヴ,Lyphard,NavajoPrincess,FairoftheFurze,Ela-Mana-Mou,Autocratic,グレイエミネンス,トニービン,カンパラ,SevernBridge,グレイキル,Forceten,DesertLass
2014105434,エンゲージスマイル,hinba,2014-04-30,10,0,1,0,9,3100000,0,0,社台ファーム,シンボリクリスエス,KrisS.,Roberto,HailtoReason,Bramalea,SharpQueen,Princequillo,Bridgework,TeeKay,GoldMeridian,SeattleSlew,QueenLouie,TriArgo,TriJet,HailProudly,エミーズスマイル,アグネスタキオン,サンデーサイレンス,Halo,WishingWell,アグネスフローラ,ロイヤルスキー,アグネスレディー,エミスフェール,ホワイトマズル,ダンシングブレーヴ,FairoftheFurze,グレイエミネンス,トニービン,グレイキル
2014105435,エリンソード,boba,2014-05-20,24,2,3,3,16,5750000,0,0,社台ファーム,ルーラーシップ,キングカメハメハ,Kingmambo,Mr.Prospector,Miesque,マンファス,ラストタイクーン,PilotBird,エアグルーヴ,トニービン,カンパラ,SevernBridge,ダイナカール,ノーザンテースト,シャダイフェザー,エリンコート,デュランダル,サンデーサイレンス,Halo,WishingWell,サワヤカプリンセス,ノーザンテースト,スコッチプリンセス,エリンバード,Bluebird,StormBird,IvoryDawn,MaidofErin,IrishRiver,DancingShadow
2014105436,エレクトロニカ,hinba,2014-02-03,24,3,9,5,7,62670000,0,0,社台ファーム,ディープインパクト,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ウインドインハーヘア,Alzao,Lyphard,LadyRebecca,Burghclere,Busted,Highclere,エレクトラレーン,Dubawi,DubaiMillennium,SeekingtheGold,ColoradoDancer,Zomaradah,Deploy,Jawaher,Imperialistic,ImperialBallet,Sadler'sWells,Amaranda,Shefoog,Kefaah,Masarrah
2014105437,フルオブグレース,hinba,2014-01-26,6,0,1,1,4,5550000,0,0,社台コーポレーション白老ファーム,ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,WishingWell,ポインテッドパス,Kris,SilkenWay,ホワイトウォーターアフェア,Machiavellian,Mr.Prospector,CoupdeFolie,MuchTooRisky,Bustino,ShortRations,エロージュ,フサイチコンコルド,Caerleon,Nijinsky,Foreseer,バレークイーン,Sadler'sWells,SunPrincess,フサイチエレガンス,Rahy,BlushingGroom,GloriousSong,ExclusiveBird,StormBird,ExclusiveMoment
2014105438,ヘイポーラ,hinba,2014-03-16,43,10,4,7,22,4430000,0,0,社台ファーム,ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,WishingWell,ポインテッドパス,Kris,SilkenWay,ホワイトウォーターアフェア,Machiavellian,Mr.Prospector,CoupdeFolie,MuchTooRisky,Bustino,ShortRations,エンドレスビジネス,エンドスウィープ,フォーティナイナー,Mr.Prospector,File,BroomDance,DanceSpell,WitchingHour,ベンチャービジネス,Danzig,NorthernDancer,PasdeNom,StrategicManeuver,Cryptoclearance,プレイヤーホイール
2014105439,ダイワドノヴァン,boba,2014-05-17,18,3,0,2,13,29250000,0,0,社台ファーム,ダイワメジャー,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,スカーレットブーケ,ノーザンテースト,NorthernDancer,LadyVictoria,スカーレットインク,CrimsonSatan,Consentida,エールスタンス,エルコンドルパサー,Kingmambo,Mr.Prospector,Miesque,サドラーズギャル,Sadler'sWells,Glenveagh,エリンバード,Bluebird,StormBird,IvoryDawn,MaidofErin,IrishRiver,DancingShadow
2014105440,ノイエクローネ,hinba,2014-03-06,1,0,0,0,1,0,0,0,社台ファーム,ネオユニヴァース,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ポインテッドパス,Kris,SharpenUp,DoublySure,SilkenWay,Shantung,Boulevard,オヴァンボクイーン,Kalatos,BigShuffle,SuperConcorde,RaiseYourSkirts,Kardia,MisterRock's,Kandia,Oxalaguna,Lagunas,イルドブルボン,Liranga,Oxalis,Ashmore,Observanz
2014105441,サトノシャーク,boba,2014-02-01,18,3,2,1,12,45220000,0,0,社台ファーム,ディープインパクト,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ウインドインハーヘア,Alzao,Lyphard,LadyRebecca,Burghclere,Busted,Highclere,オジャグワ,PurePrize,StormCat,StormBird,Terlingua,HeavenlyPrize,SeekingtheGold,OhWhataDance,OpenSecrets,WestbyWest,GoneWest,WestTurn,GriffedeParis,Telescopico,AprilInParis
2014105442,サンライズレイド,boba,2014-05-01,4,0,0,0,4,0,0,0,社台ファーム,ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,WishingWell,ポインテッドパス,Kris,SilkenWay,ホワイトウォーターアフェア,Machiavellian,Mr.Prospector,CoupdeFolie,MuchTooRisky,Bustino,ShortRations,オッティマルーチェ,FusaichiPegasus,Mr.Prospector,RaiseaNative,GoldDigger,AngelFever,Danzig,RowdyAngel,LeadingLight,Mr.Leader,HailtoReason,JolieDeja,ManhattenMiss,アーテイアス,MoonMin
2014105443,ビートフォルテ,hinba,2014-03-25,8,1,1,1,5,280000,0,0,社台ファーム,ゴールドアリュール,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ニキーヤ,Nureyev,NorthernDancer,Special,ReluctantGuest,Hostage,VaguelyRoyal,オフジオールドブロック,A.P.Indy,SeattleSlew,BoldReasoning,MyCharmer,WeekendSurprise,Secretariat,LassieDear,Chip,Norquestor,ConquistadorCielo,LindaNorth,BigPride,BetBig,AltoPride
2014105444,モーヴ,hinba,2014-02-27,62,2,5,9,46,1000000,0,0,社台ファーム,シンボリクリスエス,KrisS.,Roberto,HailtoReason,Bramalea,SharpQueen,Princequillo,Bridgework,TeeKay,GoldMeridian,SeattleSlew,QueenLouie,TriArgo,TriJet,HailProudly,オメガグレイス,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,エリンバード,Bluebird,StormBird,IvoryDawn,MaidofErin,IrishRiver,DancingShadow
2014105445,スマイルウィーク,hinba,2014-03-05,14,2,1,3,8,510000,0,0,社台ファーム,スペシャルウィーク,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,キャンペンガール,マルゼンスキー,Nijinsky,シル,レディーシラオキ,セントクレスピン,ミスアシヤガワ,オメガスピリット,スピニングワールド,Nureyev,NorthernDancer,Special,ImperfectCircle,Riverman,Aviance,ファーガーズプロスペクト,Chief'sCrown,Danzig,SixCrowns,Fager'sGlory,Mr.Prospector,Street'sGlory
2014105446,オメガフレグランスの2014,boba,2014-03-21,0,0,0,0,0,0,0,0,社台ファーム,ホワイトマズル,ダンシングブレーヴ,Lyphard,NorthernDancer,Goofed,NavajoPrincess,Drone,Olmec,FairoftheFurze,Ela-Mana-Mou,ピットカーン,RoseBertin,Autocratic,Tyrant,FlightTable,オメガフレグランス,ゴールドアリュール,サンデーサイレンス,Halo,WishingWell,ニキーヤ,Nureyev,ReluctantGuest,ビューティーメイク,リアルシャダイ,Roberto,DesertVixen,セイリングビューティ,Lyphard,Sweetdric
2014105447,ミエノブルーハワイ,hinba,2014-04-21,5,0,0,0,5,0,0,0,社台ファーム,タートルボウル,DyhimDiamond,NightShift,NorthernDancer,Ciboulette,HappyLanding,Homing,LaughingGoddess,ClaraBow,TopVille,HighTop,SegaVille,Kamiya,Kalamoun,Shahinaaz,オメガブルーハワイ,フジキセキ,サンデーサイレンス,Halo,WishingWell,ミルレーサー,LeFabuleux,Marston'sMill,オメガアイランド,エルコンドルパサー,Kingmambo,サドラーズギャル,アイリッシュダンス,トニービン,ビューパーダンス
2014105448,スターライトブルー,boba,2014-02-26,24,4,5,3,12,41710000,0,0,社台コーポレーション白老ファーム,ホワイトマズル,ダンシングブレーヴ,Lyphard,NorthernDancer,Goofed,NavajoPrincess,Drone,Olmec,FairoftheFurze,Ela-Mana-Mou,ピットカーン,RoseBertin,Autocratic,Tyrant,FlightTable,オメガリトルスター,ジャングルポケット,トニービン,カンパラ,SevernBridge,ダンスチャーマー,Nureyev,SkillfulJoy,オメガスターライト,ジェニュイン,サンデーサイレンス,クルーピアレディー,ダイナスターライト,ノーザンテースト,ネイティブスター
2014105449,イセエビ,hinba,2014-02-15,6,0,0,0,6,0,0,0,社台ファーム,ハービンジャー,Dansili,デインヒル,Danzig,Razyana,Hasili,Kahyasi,Kerali,PenangPearl,Bering,ArcticTern,Beaune,Guapa,ShareefDancer,Sauceboat,オメガロンド,フレンチデピュティ,DeputyMinister,ViceRegent,MintCopy,Mitterand,HoldYourPeace,LaredoLass,ミスアルダント,サンデーサイレンス,Halo,WishingWell,マガロ,Caro,Magic
2014105450,ホウオウステップ,boba,2014-03-18,30,1,6,1,22,750000,0,0,社台ファーム,ハービンジャー,Dansili,デインヒル,Danzig,Razyana,Hasili,Kahyasi,Kerali,PenangPearl,Bering,ArcticTern,Beaune,Guapa,ShareefDancer,Sauceboat,オルトリンデ,ダンスインザダーク,サンデーサイレンス,Halo,WishingWell,ダンシングキイ,Nijinsky,KeyPartner,オスティエンセ,エリシオ,FairyKing,Helice,オステアアンティカ,A.P.Indy,AntiqueAuction
2014105451,ナリタシュウ,boba,2014-03-27,2,0,0,0,2,0,0,0,社台ファーム,ルーラーシップ,キングカメハメハ,Kingmambo,Mr.Prospector,Miesque,マンファス,ラストタイクーン,PilotBird,エアグルーヴ,トニービン,カンパラ,SevernBridge,ダイナカール,ノーザンテースト,シャダイフェザー,オレンジブロッサム,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,バッフドオレンジ,ExclusiveNative,RaiseaNative,Exclusive,SallyStark,Graustark,SallyShip
2014105452,サムデイサムウェア,boba,2014-03-26,22,2,4,1,15,1370000,0,0,社台ファーム,ネオユニヴァース,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ポインテッドパス,Kris,SharpenUp,DoublySure,SilkenWay,Shantung,Boulevard,オンヴェラ,SmartStrike,Mr.Prospector,RaiseaNative,GoldDigger,Classy'nSmart,Smarten,NoClass,Karmifira,AlwaysFair,Danzig,Carduel,Karmiska,Bikala,Karmisyn
2014105453,ラブアイリス,boba,2014-01-20,8,0,0,1,7,80000,0,0,社台ファーム,ハービンジャー,Dansili,デインヒル,Danzig,Razyana,Hasili,Kahyasi,Kerali,PenangPearl,Bering,ArcticTern,Beaune,Guapa,ShareefDancer,Sauceboat,オンシジューム,エンドスウィープ,フォーティナイナー,Mr.Prospector,File,BroomDance,DanceSpell,WitchingHour,ウインフィオーレ,フジキセキ,サンデーサイレンス,ミルレーサー,ダイナビーム,ノーザンテースト,ビーチマスト
2014105454,オンブルリジェールの2014,hinba,2014-04-12,0,0,0,0,0,0,0,0,社台ファーム,ステイゴールド,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ゴールデンサッシュ,ディクタス,Sanctus,Doronic,ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ,オンブルリジェール,DoubleBed,BeMyGuest,NorthernDancer,WhataTreat,Claire'sSlipper,WelshSaint,Semislipper,Flawlessly,RainbowQuest,BlushingGroom,IWillFollow,Pauvresse,HomeGuard,Misoptimist
2014105455,アサクサジャンボ,boba,2014-03-08,6,0,0,1,5,50000,0,0,社台ファーム,ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス,Halo,WishingWell,ポインテッドパス,Kris,SilkenWay,ホワイトウォーターアフェア,Machiavellian,Mr.Prospector,CoupdeFolie,MuchTooRisky,Bustino,ShortRations,オーラ,QuietAmerican,Fappiano,Mr.Prospector,Killaloe,Demure,Dr.Fager,QuietCharm,CharmedAura,Halo,HailtoReason,Cosmah,Acharmer,AlHattab,LikeaCharm
2014105456,ジッパーレーン,hinba,2014-03-02,12,1,0,1,10,6900000,1,0,社台ファーム,ディープインパクト,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ウインドインハーヘア,Alzao,Lyphard,LadyRebecca,Burghclere,Busted,Highclere,カウアイレーン,キングカメハメハ,Kingmambo,Mr.Prospector,Miesque,マンファス,ラストタイクーン,PilotBird,シルバーレーン,SilverHawk,Roberto,GrisVitesse,StraitLane,Chieftain,LevelSands
2014105457,ヴェルデミーティア,hinba,2014-05-01,29,3,2,4,20,4600000,0,0,社台ファーム,ステイゴールド,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ゴールデンサッシュ,ディクタス,Sanctus,Doronic,ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ,カウガールズドントクライ,PurePrize,StormCat,StormBird,Terlingua,HeavenlyPrize,SeekingtheGold,OhWhataDance,EmphaticStyle,CraftyProspector,Mr.Prospector,RealCraftyLady,PebblePatter,RockTalk,LadyAmherst
2014105458,デルマオテモヤン,hinba,2014-03-03,12,2,3,2,5,600000,0,0,社台ファーム,アサクサキングス,ホワイトマズル,ダンシングブレーヴ,Lyphard,NavajoPrincess,FairoftheFurze,Ela-Mana-Mou,Autocratic,クルーピアスター,サンデーサイレンス,Halo,WishingWell,クルーピアレディー,WhatLuck,Questiond'Argent,カザリムスビ,トワイニング,フォーティナイナー,Mr.Prospector,File,CourtlyDee,NeverBend,Tulle,ニフティディード,サンデーサイレンス,Halo,WishingWell,ニフティニース,RaiseaNative,ニフテイアンドニート
2014105459,ツエーゲン,hinba,2014-02-19,30,1,9,2,18,3800000,0,0,社台ファーム,キングズベスト,Kingmambo,Mr.Prospector,RaiseaNative,GoldDigger,Miesque,Nureyev,Pasadoble,Allegretta,Lombard,Agio,PromisedLady,Anatevka,Espresso,Almyra,カタマチボタン,ダンスインザダーク,サンデーサイレンス,Halo,WishingWell,ダンシングキイ,Nijinsky,KeyPartner,タヤスブルーム,Caerleon,Nijinsky,Foreseer,ゲイロレンヌ,FabulousDancer,GaySpring
2014105460,オメガドラクロワ,boba,2014-02-12,17,4,3,1,9,49500000,0,0,社台ファーム,ステイゴールド,サンデーサイレンス,Halo,HailtoReason,Cosmah,WishingWell,Understanding,MountainFlower,ゴールデンサッシュ,ディクタス,Sanctus,Doronic,ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ,カチバ,SirCat,StormCat,StormBird,Terlingua,DesertRun,PrivateAccount,エイプリルラン,SinisterVictory,ViceRegent,NorthernDancer,VictoriaRegina,SinisterGold,SinisterPurpose,AlgomaGold
2014105461,シアン,hinba,2014-02-27,14,1,0,0,13,6500000,0,0,社台ファーム,SmartStrike,Mr.Prospector,RaiseaNative,NativeDancer,RaiseYou,GoldDigger,Nashua,Sequence,Classy'nSmart,Smarten,Cyane,Smartaire,NoClass,Nodouble,ClassyQuillo,カトマンブルー,BluegrassCat,StormCat,StormBird,Terlingua,She'saWinner,A.P.Indy,GetLucky,AbbaGold,</a>,</a>
2014105462,カンカンガール,hinba,2014-01-26,1,0,0,0,1,0,0,0,社台ファーム,ExchangeRate,Danzig,NorthernDancer,Nearctic,Natalma,PasdeNom,Admiral'sVoyage,Petitioner,SterlingPound,SeekingtheGold,Mr.Prospector,ConGame,SpectacularBev,SpectacularBid,BevBev,カンビーナ,HawkWing,Woodman,Mr.Prospector,プレイメイト,LaLorgnette,Valdel'Orne,TheTemptress,Await,パントレセレブル,Nureyev,PeintureBleue,StarringRole,Glenstal,ToughLady
