2012106143,アポロサッソウ,boba,2012-04-07,1,0,0,0,1,0,0,0,酒井亨,"[[""ロッコウオロシ""], [""HurricaneRun""], [""モンジュー""], [""Sadler'sWells""], [""Floripedes""], [""HoldOn""], [""Surumu""], [""Hone""], [""QuatreSaisons""], [""HommedeLoi""], [""LawSociety""], [""OurVillage""], [""AmericanOrder""], [""Slewo'Gold""], [""ExclusiveOrder""], [""ヤマノケントップ""], [""トニービン""], [""カンパラ""], [""Kalamoun""], [""StatePension""], [""SevernBridge""], [""Hornbeam""], [""PriddyFair""], [""セノエダンサー""], [""アンバーシャダイ""], [""ノーザンテースト""], [""クリアアンバー""], [""セノエマドンナ""], [""ピットカーン""], [""ダマスカスクイーン""]]"
2012106144,アルコセニョーラの2012,hinba,2012-04-26,0,0,0,0,0,0,0,0,畠山牧場,"[[""タニノギムレット""], [""ブライアンズタイム""], [""Roberto""], [""HailtoReason""], [""Bramalea""], [""Kelley'sDay""], [""Graustark""], [""GoldenTrail""], [""タニノクリスタル""], [""クリスタルパレス""], [""Caro""], [""Hermieres""], [""タニノシーバード""], [""Sea-Bird""], [""Flaxen""], [""アルコセニョーラ""], [""ステイゴールド""], [""サンデーサイレンス""], [""Halo""], [""WishingWell""], [""ゴールデンサッシュ""], [""ディクタス""], [""ダイナサッシュ""], [""サイレーン""], [""モガンボ""], [""Mr.Prospector""], [""LakevilleMiss""], [""ジョイデソアー""], [""Caerleon""], [""LateEvening""]]"
2012106145,サノフェス,hinba,2012-03-24,68,2,2,6,58,630000,0,0,畠山牧場,"[[""マツリダゴッホ""], [""サンデーサイレンス""], [""Halo""], [""HailtoReason""], [""Cosmah""], [""WishingWell""], [""Understanding""], [""MountainFlower""], [""ペイパーレイン""], [""BelBolide""], [""BoldBidder""], [""LadyGraustark""], [""フローラルマジック""], [""Affirmed""], [""RareLady""], [""ウスイ""], [""オース""], [""FairyKing""], [""NorthernDancer""], [""FairyBridge""], [""SheerAudacity""], [""Troy""], [""MissUpward""], [""ケイマイ""], [""Alydar""], [""RaiseaNative""], [""SweetTooth""], [""ミスティーバラード""], [""Danzig""], [""IdaDelia""]]"
2012106146,テヅクリ,hinba,2012-02-21,8,0,0,0,8,0,0,0,川上牧場,"[[""プリサイスエンド""], [""エンドスウィープ""], [""フォーティナイナー""], [""Mr.Prospector""], [""File""], [""BroomDance""], [""DanceSpell""], [""WitchingHour""], [""Precisely""], [""Summing""], [""Verbatim""], [""Sumatra""], [""Crisp'nClear""], [""ColdReception""], [""RingO'Bells""], [""トーヨートーヤコ""], [""サンデーサイレンス""], [""Halo""], [""HailtoReason""], [""Cosmah""], [""WishingWell""], [""Understanding""], [""MountainFlower""], [""サンダードーム""], [""Lyphard""], [""NorthernDancer""], [""Goofed""], [""Mr.P.'sGirl""], [""Mr.Prospector""], [""NativeStreet""]]"
2012106147,トキノクリスタル,hinba,2012-03-29,78,5,6,12,55,3820000,0,0,川上牧場,"[[""メイショウボーラー""], [""タイキシャトル""], [""Devil'sBag""], [""Halo""], [""Ballade""], [""ウェルシュマフィン""], [""Caerleon""], [""Muffitys""], [""ナイスレイズ""], [""StormCat""], [""StormBird""], [""Terlingua""], [""NiceTradition""], [""SearchTradition""], [""NiceDancing""], [""トキノミスフレンチ""], [""フレンチデピュティ""], [""DeputyMinister""], [""ViceRegent""], [""MintCopy""], [""Mitterand""], [""HoldYourPeace""], [""LaredoLass""], [""オルテンシア""], [""サンデーサイレンス""], [""Halo""], [""WishingWell""], [""キソティック""], [""Caerleon""], [""Idyllic""]]"
2012106148,ダッシングブルー,boba,2012-05-23,26,2,0,1,23,4840000,0,0,川上牧場,"[[""ストーミングホーム""], [""Machiavellian""], [""Mr.Prospector""], [""RaiseaNative""], [""GoldDigger""], [""CoupdeFolie""], [""Halo""], [""RaisetheStandard""], [""TrytoCatchMe""], [""ShareefDancer""], [""NorthernDancer""], [""SweetAlliance""], [""It'sintheAir""], [""Mr.Prospector""], [""AWindIsRising""], [""ピスタチオ""], [""ホワイトマズル""], [""ダンシングブレーヴ""], [""Lyphard""], [""NavajoPrincess""], [""FairoftheFurze""], [""Ela-Mana-Mou""], [""Autocratic""], [""イルバチオ""], [""ロイヤルアカデミーII""], [""Nijinsky""], [""CrimsonSaint""], [""サーファーガール""], [""マナード""], [""マテイネラ""]]"
2012106149,トワノハーモニーの2012,hinba,2012-04-26,0,0,0,0,0,0,0,0,榊原光子,"[[""ハーツクライ""], [""サンデーサイレンス""], [""Halo""], [""HailtoReason""], [""Cosmah""], [""WishingWell""], [""Understanding""], [""MountainFlower""], [""アイリッシュダンス""], [""トニービン""], [""カンパラ""], [""SevernBridge""], [""ビューパーダンス""], [""Lyphard""], [""MyBupers""], [""トワノハーモニー""], [""クリスタルグリッターズ""], [""BlushingGroom""], [""RedGod""], [""RunawayBride""], [""TalestoTell""], [""DonutKing""], [""FleetingDoll""], [""イチジョウスキー""], [""マルゼンスキー""], [""Nijinsky""], [""シル""], [""スターイチジョウ""], [""スカイマスター""], [""ツキカゲ""]]"
2012106150,マルシゲジャパン,boba,2012-04-17,15,1,3,3,8,1800000,0,0,榊原光子,"[[""アグネスデジタル""], [""CraftyProspector""], [""Mr.Prospector""], [""RaiseaNative""], [""GoldDigger""], [""RealCraftyLady""], [""InReality""], [""PrincessRoycraft""], [""ChanceySquaw""], [""Chief'sCrown""], [""Danzig""], [""SixCrowns""], [""Allicance""], [""Alleged""], [""RunawayBride""], [""マイマスタートップ""], [""ウォーニング""], [""KnownFact""], [""InReality""], [""Tamerett""], [""SlightlyDangerous""], [""Roberto""], [""WhereYouLead""], [""チェリーコウマン""], [""スプレンディドモーメント""], [""StormBird""], [""Racquette""], [""チェリーガール""], [""クラウンドプリンス""], [""チェリービーナス""]]"
2012106151,シンゼンジャイアン,boba,2012-03-20,69,4,7,4,54,2010000,0,0,絵笛牧場,"[[""ジャイアントレッカー""], [""Giant'sCauseway""], [""StormCat""], [""StormBird""], [""Terlingua""], [""Mariah'sStorm""], [""Rahy""], [""イメンス""], [""Homewrecker""], [""Buckaroo""], [""Buckpasser""], [""SteppingHigh""], [""Execution""], [""TheAxe""], [""HouseofCards""], [""ジーエスレインボー""], [""トーヨーレインボー""], [""DeputyMinister""], [""ViceRegent""], [""MintCopy""], [""DoubleWiggle""], [""SirWiggle""], [""BlueDouble""], [""ハッピーマドンナ""], [""アフリート""], [""Mr.Prospector""], [""PoliteLady""], [""コンアモール""], [""アサティス""], [""ブロケード""]]"
2012106152,ニシノピクチャーの2012,hinba,2012-04-12,0,0,0,0,0,0,0,0,絵笛牧場,"[[""スタチューオブリバティ""], [""StormCat""], [""StormBird""], [""NorthernDancer""], [""SouthOcean""], [""Terlingua""], [""Secretariat""], [""CrimsonSaint""], [""CharmingLassie""], [""SeattleSlew""], [""BoldReasoning""], [""MyCharmer""], [""LassieDear""], [""Buckpasser""], [""GayMissile""], [""ニシノピクチャー""], [""タイキシャトル""], [""Devil'sBag""], [""Halo""], [""Ballade""], [""ウェルシュマフィン""], [""Caerleon""], [""Muffitys""], [""ブランドアート""], [""ビショップボブ""], [""CleverTrick""], [""ScreenShot""], [""ニシノアート""], [""ネヴァーダンス""], [""ムサシネイティブ""]]"
